Year,Month,Day,Time,Flight_Time_(s),Sync,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Quat_1,Quat_2,Quat_3,Quat_4,Aux_Volts,Current
2024,2,1,56:43.8,-2.04,180,-0.5,0,-0.1,-0.02,-0.04,-1.1,0.99997,-0.00237,0.0005,-0.0013,0.029,0
2024,2,1,56:43.8,-2.038,182,-0.5,0.1,-0.2,-0.02,-0.04,-1.1,0.99997,-0.0024,0.0005,-0.0013,0.029,0
2024,2,1,56:43.8,-2.036,184,-0.7,0,-0.1,-0.03,-0.03,-1.1,0.99997,-0.0024,0.0005,-0.0013,0.029,0
2024,2,1,56:43.8,-2.034,186,-0.4,0.1,-0.2,-0.03,-0.04,-1.11,0.99997,-0.0024,0.0005,-0.00133,0.029,0
2024,2,1,56:43.8,-2.032,188,-0.5,0,-0.3,-0.02,-0.04,-1.1,0.99997,-0.00243,0.0005,-0.00133,0.029,0
2024,2,1,56:43.8,-2.03,190,-0.4,0,-0.2,-0.03,-0.04,-1.1,0.99997,-0.00243,0.0005,-0.00133,0.029,0
2024,2,1,56:43.8,-2.028,192,-0.5,0,-0.4,-0.03,-0.04,-1.11,0.99997,-0.00243,0.0005,-0.00133,0.029,0
2024,2,1,56:43.8,-2.026,194,-0.4,0.1,-0.3,-0.02,-0.04,-1.1,0.99997,-0.00243,0.0005,-0.00133,0.03,0
2024,2,1,56:43.8,-2.024,196,-0.5,0.1,-0.3,-0.02,-0.03,-1.1,0.99997,-0.00247,0.0005,-0.00133,0.029,0
2024,2,1,56:43.9,-2.022,198,-0.4,0,-0.3,-0.02,-0.03,-1.1,1,0,0,0,0.029,0
2024,2,1,56:43.9,-2.02,200,-0.5,0,-0.4,-0.03,-0.04,-1.1,1,0,0,0,0.029,0
2024,2,1,56:43.9,-2.018,202,-0.4,0.1,-0.2,-0.03,-0.04,-1.11,1,0,0,0,0.029,0
2024,2,1,56:43.9,-2.016,204,-0.4,0,-0.3,-0.02,-0.03,-1.1,1,-0.00003,0,0,0.03,0
2024,2,1,56:43.9,-2.014,206,-0.4,0,-0.3,-0.02,-0.04,-1.1,1,-0.00003,0,0,0.029,0
2024,2,1,56:43.9,-2.012,208,-0.4,0,-0.1,-0.01,-0.04,-1.1,1,-0.00003,0,0,0.029,0
2024,2,1,56:43.9,-2.01,210,-0.6,0.1,-0.3,-0.02,-0.04,-1.1,1,-0.00003,0,-0.00003,0.029,0
2024,2,1,56:43.9,-2.008,212,-0.5,0.1,-0.3,-0.02,-0.04,-1.1,1,-0.00007,0,-0.00003,0.029,0
2024,2,1,56:43.9,-2.006,214,-0.6,0,-0.1,-0.02,-0.04,-1.09,1,-0.00007,0,-0.00003,0.029,0
2024,2,1,56:44.0,-2.004,216,-0.5,0.1,-0.3,-0.02,-0.04,-1.1,1,-0.00007,0,-0.00003,0.03,0
2024,2,1,56:44.0,-2.002,218,-0.5,0.1,-0.2,-0.02,-0.04,-1.11,1,-0.0001,0,-0.00003,0.029,0
