Time[s],Pressure altitude [m],GPS altitude [m],GPS Valid,Acceleration x [m/s^2], Acceleration y [m/s^2], Acceleration z [m/s^2], Gyro x [deg/s], Gyro y [deg/s], Gyro z [deg/s]
-1e+02,152.36,125.83,0,-0.02,-0.08,-9.85,-1.61,1.26,-0.84
-100.01,152.36,125.83,0,-0.02,-0.08,-9.85,-1.62,1.25,-0.83
-100.00,152.36,125.83,0,-0.02,-0.08,-9.85,-1.62,1.25,-0.83
-99.99,152.36,125.83,0,-0.02,-0.08,-9.85,-1.63,1.24,-0.82
-99.98,152.36,125.83,0,-0.02,-0.08,-9.85,-1.64,1.23,-0.81
-99.97,152.36,125.83,0,-0.02,-0.08,-9.85,-1.65,1.22,-0.80
-99.96,152.36,125.83,0,-0.02,-0.08,-9.85,-1.66,1.21,-0.79
-99.95,152.36,125.83,0,-0.02,-0.08,-9.85,-1.67,1.20,-0.78
-99.94,152.36,125.83,0,-0.02,-0.08,-9.85,-1.67,1.20,-0.78
-99.93,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.92,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.91,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.90,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.89,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.88,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.87,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.86,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.85,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.84,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.83,152.36,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.82,152.35,125.83,0,-0.02,-0.08,-9.85,-1.68,1.19,-0.77
-99.81,152.32,125.83,0,-0.02,-0.08,-9.86,-1.68,1.19,-0.78
-99.80,152.28,125.83,0,-0.02,-0.08,-9.86,-1.68,1.19,-0.79
-99.79,152.23,125.83,0,-0.02,-0.08,-9.86,-1.68,1.19,-0.80
