Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,9.84,0,0,39.35,49.11416,3.11954,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.7582487,0,27.57887,9.84,0,0,39.3409,49.11416,3.122446,58.0010666343131,58.0010666340996,0.000157385178882837,14.6814631705222,0.5800107,0.000001573852,89.9999,89.9999,0.002900054,0.00000000786926
0.02,S,0.02,0.01287988,0,0.7118393,0,55.04543,9.839352,0.009208387,0,39.33181,49.11416,3.125351,147.790652061652,147.790652061318,0.000314097562445086,14.813644485757,2.057917,0.000004714827,89.9999,89.9999,0.01608969,0.00000003931265
0.03,S,0.03,0.01299585,0,0.7103165,0,82.512,9.837404,0.009354889,0,39.32271,49.11416,3.128257,237.657358658921,237.657358658454,0.000470944549839008,15.3255958832205,4.434491,0.000009424272,89.9999,89.9999,0.04855173,0.0000001100081
0.04,S,0.04,0.01344498,0,0.704616,0,109.9786,9.83416,0.009932297,0,39.31362,49.11416,3.131163,327.605691658315,327.605691657713,0.000627933998644783,16.5729271235633,7.710548,0.00001570361,89.9999,89.9999,0.1092769,0.0000002356475
0.05,S,0.05,0.01453925,0,0.686647,0,112.9299,9.829617,0.01131863,0,39.30452,49.11416,3.134068,337.427630750583,337.427630749966,0.000645076519930362,18.3870276738952,11.08482,0.00002215437,89.9999,89.9999,0.2032538,0.0000004249374
0.05999999,S,0.05999999,0.01613075,0,0.6892918,0,113.1573,9.824297,0.01398579,0,39.29543,49.11416,3.136974,338.363758340395,338.363758339777,0.000646710371660444,20.60451593134,14.46846,0.00002862147,89.9999,89.9999,0.3310202,0.0000006788166
0.06999999,S,0.06999999,0.01807613,0,0.691483,0,113.3847,9.81896,0.01761836,0,39.28633,49.11416,3.13988,339.298406420617,339.298406419998,0.000648341636210364,23.1136533479848,17.86144,0.00003510489,89.9999,89.9999,0.4926697,0.0000009974484
0.07999999,S,0.07999999,0.02027738,0,0.6927454,0,113.6121,9.813613,0.022211,0,39.27724,49.11416,3.142786,340.231356637918,340.231356637297,0.000649969943239217,25.8332573823243,21.26375,0.00004160459,89.9999,89.9999,0.6882956,0.000001380996
0.08999999,S,0.08999999,0.02266328,0,0.6930279,0,113.8396,9.808254,0.02775647,0,39.26814,49.11416,3.145691,341.162686433915,341.162686433293,0.00065159542245765,28.7068753479392,24.67538,0.00004812055,89.9999,89.9999,0.9179912,0.000001829622
0.09999999,S,0.09999999,0.0251843,0,0.6924802,0,114.067,9.802885,0.03424772,0,39.25905,49.11416,3.148597,342.092299410282,342.092299409658,0.000653217900097066,31.6956239793848,28.0963,0.00005465273,89.9999,89.9999,1.18185,0.000002343488
0.11,S,0.11,0.02780633,0,0.6913003,0,114.2944,9.797505,0.04167875,0,39.24995,49.11416,3.151503,343.02035748648,343.020357485855,0.000654837669743106,34.7725595855826,31.5265,0.00006120111,89.9999,89.9999,1.479964,0.000002922757
0.12,S,0.12,0.03050573,0,0.6896676,0,114.5219,9.792115,0.05004483,0,39.24086,49.11416,3.154408,343.946734362357,343.946734361731,0.000656454499972601,37.9187282029388,34.96597,0.00006776566,89.9999,89.9999,1.812426,0.000003567591
0.13,S,0.13,0.03326588,0,0.6877257,0,114.7285,9.786714,0.05934238,0,39.23177,49.11416,3.157314,344.80286363583,344.802863635202,0.00065794872536479,41.1199036906799,38.414,0.00007434515,89.9999,89.9999,2.179326,0.000004278145
0.14,S,0.14,0.0360743,0,0.6855829,0,114.9141,9.781301,0.06956682,0,39.22267,49.11416,3.16022,345.588568630438,345.588568629809,0.00065932004303669,44.3655155000875,41.86989,0.00008093836,89.9999,89.9999,2.580745,0.000005054562
0.15,S,0.15,0.03892171,0,0.6833188,0,115.0998,9.775881,0.08071379,0,39.21357,49.11416,3.163126,346.372457692598,346.372457691968,0.000660688186073113,47.6481654049298,45.33361,0.00008754524,89.9999,89.9999,3.016762,0.00000589698
0.16,S,0.16,0.04180163,0,0.6809899,0,115.2855,9.770452,0.0927815,0,39.20448,49.11416,3.166031,347.154544636215,347.154544635584,0.000662053184086062,50.962292998811,48.80516,0.00009416577,89.9999,89.9999,3.487456,0.000006805536
0.17,S,0.17,0.04470918,0,0.6786365,0,115.4712,9.765013,0.1057689,0,39.19538,49.11416,3.168937,347.934869156568,347.934869155936,0.000663415106387127,54.3036080353585,52.28451,0.0001007999,89.9999,89.9999,3.992905,0.000007780364
0.18,S,0.18,0.04764058,0,0.6762866,0,115.6569,9.759565,0.1196755,0,39.18629,49.11416,3.171843,348.713420034257,348.713420033623,0.000664773933365415,57.6687773674132,55.77164,0.0001074476,89.9999,89.9999,4.533185,0.000008821602
0.19,S,0.19,0.05059294,0,0.6739603,0,115.8427,9.754109,0.1345014,0,39.1772,49.11416,3.174749,349.49018017109,349.490180170455,0.000666129640699543,61.0551800732606,59.26654,0.0001141089,89.9999,89.9999,5.108377,0.000009929385
0.2,S,0.2,0.05356394,0,0.6716709,0,116.0284,9.748645,0.150247,0,39.1681,49.11416,3.177654,350.265153720149,350.265153719513,0.000667482224601268,64.4607140768923,62.76919,0.0001207837,89.9999,89.9999,5.718555,0.00001110385
0.21,S,0.21,0.05655175,0,0.6694273,0,116.2257,9.743172,0.1669133,0,39.159,49.11416,3.18056,351.076480176662,351.076480176025,0.000668898251036467,67.8840512514254,66.27995,0.0001274727,89.9999,89.9999,6.363801,0.00001234513
0.22,S,0.22,0.05955518,0,0.6672353,0,116.5273,9.73769,0.1845034,0,39.14991,49.11416,3.183466,352.230458856634,352.230458855995,0.0006709123241954,71.3271921517879,69.80226,0.0001341818,89.9999,89.9999,7.044211,0.0000136534
0.23,S,0.23,0.06257603,0,0.6650965,0,116.8288,9.732196,0.2030378,0,39.14082,49.11416,3.186372,353.383159327706,353.383159327065,0.000672924166848513,74.7890040920128,73.33609,0.000140911,89.9999,89.9999,7.759903,0.00001502887
0.24,S,0.24,0.06561325,0,0.6630127,0,117.1304,9.726687,0.2225211,0,39.13172,49.11416,3.189277,354.534595384607,354.534595383965,0.00067493380313269,78.2685700079367,76.88144,0.0001476603,89.9999,89.9999,8.51099,0.00001647172
0.25,S,0.25,0.06866609,0,0.6609852,0,117.432,9.721165,0.2429583,0,39.12263,49.11416,3.192183,355.684828024643,355.684828023999,0.000676941339509077,81.7651021607248,80.43829,0.0001544297,89.9999,89.9999,9.297588,0.00001798217
