Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,10.2,0,0,39.35,48.79151,2.937619,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.7252844,0,27.58158,10.2,0,0,39.34126,48.79151,2.94034,55.0208840115094,54.495883958834,7.58263205973161,14.7558929284873,0.5449588,0.07582632,85,85,0.002724794,0.0003791316
0.02,S,0.02,0.01320412,0,0.6775088,0,55.04814,10.19935,0.009708646,0,39.33251,48.79151,2.94306,141.595725113748,140.784849406015,15.1319380190932,15.0245934224014,1.952807,0.2271457,85,85,0.01521362,0.001893992
0.03,S,0.03,0.01344457,0,0.6746668,0,82.5147,10.1974,0.01002322,0,39.32377,48.79151,2.94578,228.277565611259,227.147344841563,22.6876771140365,15.7028850952317,4.22428,0.4540225,85,85,0.04609906,0.005299833
0.04,S,0.04,0.01405153,0,0.6626086,0,109.9813,10.19416,0.01075296,0,39.31503,48.79151,2.9485,315.041216145939,313.585559137547,30.2500408446752,17.0923729449305,7.360136,0.7565229,85,85,0.1040211,0.01135256
0.05,S,0.05,0.0152949,0,0.6646916,0,112.9326,10.18962,0.01278016,0,39.30629,48.79151,2.95122,324.508065526686,323.016747011711,31.0751627806508,18.9688239594804,10.5903,1.067275,85,85,0.1937733,0.02047155
0.05999999,S,0.05999999,0.01697402,0,0.6667787,0,113.16,10.1843,0.01578967,0,39.29754,48.79151,2.95394,325.403168784418,323.908477329473,31.1531791161482,21.1852769183853,13.82938,1.378807,85,85,0.3158717,0.03270196
0.06999999,S,0.06999999,0.0189574,0,0.6682151,0,113.3874,10.17896,0.01973757,0,39.2888,48.79151,2.95666,326.29687323131,324.798813923197,31.231073542454,23.6500053041589,17.07737,1.691118,85,85,0.4704054,0.04805158
0.07999999,S,0.07999999,0.02116294,0,0.6687821,0,113.6148,10.17361,0.02461811,0,39.28006,48.79151,2.95938,327.188931708693,325.687510594268,31.3088242446789,26.2965865222702,20.33424,2.004206,85,85,0.6574635,0.0665282
0.08999999,S,0.08999999,0.02353122,0,0.6685294,0,113.8423,10.16825,0.03042459,0,39.27132,48.79151,2.962101,328.079485241288,326.574707787639,31.3864440420844,29.0784121076694,23.59999,2.31807,85,85,0.8771346,0.08813958
0.09999999,S,0.09999999,0.02602053,0,0.6676128,0,114.0697,10.16288,0.03715088,0,39.26257,48.79151,2.964821,328.968440800791,327.460312853394,31.4639245622844,31.9629055306046,26.87459,2.632709,85,85,1.129508,0.1128935
0.11,S,0.11,0.02860171,0,0.6662016,0,114.2971,10.1575,0.0447918,0,39.25383,48.79151,2.967541,329.855832211227,328.344359515735,31.5412684900693,34.927138443346,30.15803,2.948122,85,85,1.414671,0.1407976
0.12,S,0.12,0.03125426,0,0.6644417,0,114.5246,10.15211,0.05334332,0,39.24509,48.79151,2.970261,330.741710517102,329.226898578446,31.6184808015198,37.9547354250996,33.4503,3.264307,85,85,1.732712,0.1718598
0.13,S,0.13,0.03396352,0,0.6624476,0,114.7312,10.14671,0.06280251,0,39.23635,48.79151,2.972981,331.55982230773,330.04192643766,31.689786399596,41.0331805163096,36.75072,3.581205,85,85,2.083717,0.2060873
0.14,S,0.14,0.03671828,0,0.6603055,0,114.9168,10.1413,0.07316527,0,39.2276,48.79151,2.975701,332.309975008493,330.789251256518,31.7551687650563,44.1530403684847,40.05861,3.898757,85,85,2.467764,0.2434871
0.15,S,0.15,0.03951013,0,0.6580785,0,115.1025,10.13588,0.08442758,0,39.21886,48.79151,2.978421,333.05843262158,331.534887256806,31.8204033909142,47.3076917769764,43.37396,4.216961,85,85,2.884927,0.2840657
0.16,S,0.16,0.04233311,0,0.6558114,0,115.2882,10.13045,0.09658803,0,39.21012,48.79151,2.981141,333.805206326618,332.27884555226,31.8854915159464,50.4920769935051,46.69675,4.535816,85,85,3.33528,0.3278296
0.17,S,0.17,0.04518272,0,0.6535364,0,115.4739,10.12501,0.1096458,0,39.20138,48.79151,2.983861,334.550293599986,333.021123680923,31.9504323935045,53.7022797469308,50.02696,4.85532,85,85,3.818899,0.3747853
0.18,S,0.18,0.04805544,0,0.6512758,0,115.6596,10.11956,0.1236007,0,39.19263,48.79151,2.986581,335.293667091243,333.761694371841,32.0152239025573,56.9352270970302,53.36457,5.175472,85,85,4.335856,0.4249392
0.19,S,0.19,0.05094853,0,0.6490451,0,115.8453,10.11411,0.1384528,0,39.18389,48.79151,2.989301,336.035325444121,334.500556275422,32.0798659250518,60.188494912368,56.70958,5.49627,85,85,4.886227,0.4782979
0.2,S,0.2,0.05385982,0,0.6468548,0,116.031,10.10864,0.1542028,0,39.17515,48.79151,2.992022,336.775265656923,335.237706402833,32.1443581995196,63.4601093277945,60.06196,5.817714,85,85,5.470085,0.5348679
0.21,S,0.21,0.05678755,0,0.6447123,0,116.2283,10.10317,0.1708518,0,39.16641,48.79151,2.994742,337.550339571156,336.009857631708,32.2119126864866,66.7488340437724,63.42206,6.139833,85,85,6.087505,0.5946556
0.22,S,0.22,0.0597306,0,0.6426213,0,116.5299,10.09769,0.188403,0,39.15767,48.79151,2.997462,338.655847096047,337.111196244192,32.3082673498736,70.0566032283251,66.79317,6.462915,85,85,6.738581,0.6576694
0.23,S,0.23,0.06269073,0,0.6405828,0,116.8314,10.09219,0.2068767,0,39.14892,48.79151,3.000182,339.760073985723,338.211258802909,32.4045103918528,73.3823620780702,70.17528,6.78696,85,85,7.423423,0.7239187
0.24,S,0.24,0.06566697,0,0.638598,0,117.133,10.08669,0.2262777,0,39.14018,48.79151,3.002902,340.863069762165,339.310094671446,32.500645866517,76.7252185265748,73.56837,7.111967,85,85,8.142141,0.7934134
0.25,S,0.25,0.06865853,0,0.6366675,0,117.4346,10.08116,0.2466106,0,39.13144,48.79151,3.005622,341.964935693119,340.407804687919,32.5966831311198,80.08443834615,76.97244,7.437934,85,85,8.894845,0.8661629
0.26,S,0.26,0.07166476,0,0.634791,0,117.7362,10.07563,0.2678807,0,39.1227,48.79151,3.008342,343.065527999585,341.504245644123,32.692609389163,83.4593906895279,80.38748,7.76486,85,85,9.681644,0.9421769
0.27,S,0.27,0.07468507,0,0.6329679,0,118.0377,10.07008,0.2900933,0,39.11395,48.79151,3.011062,344.164872909568,342.599443697659,32.7884266611493,86.8495364711588,83.81348,8.092745,85,85,10.50265,1.021465
0.28,S,0.28,0.07771903,0,0.631197,0,118.3393,10.06451,0.3132539,0,39.10521,48.79151,3.013783,345.262996531688,343.693424810816,32.8841377544278,90.2543926597542,87.25041,8.421586,85,85,11.35797,1.104037
0.29,S,0.29,0.08076618,0,0.6294771,0,118.6409,10.05893,0.337368,0,39.09647,48.79151,3.016503,346.359818012665,344.786108489202,32.9797350904849,93.6735683253494,90.69827,8.751384,85,85,12.24771,1.189901
0.3,S,0.3,0.08382616,0,0.6278068,0,118.8789,10.05334,0.3624412,0,39.08773,48.79151,3.019223,347.251629658331,345.674555572373,33.0574640619784,97.1047029771069,94.15502,9.081959,85,85,13.17198,1.279068
0.31,S,0.31,0.08689688,0,0.6261857,0,119.0744,10.04773,0.3884641,0,39.07898,48.79151,3.021943,348.00603364139,346.426113252098,33.1232170517429,100.546137990951,97.61929,9.413191,85,85,14.13085,1.371544
0.32,S,0.32,0.08997684,0,0.6246125,0,119.2699,10.04211,0.4154301,0,39.07024,48.79151,3.024663,348.758662120586,347.175902045412,33.1888150300056,103.997530592224,101.091,9.745079,85,85,15.1244,1.467335
0.33,S,0.33,0.09306575,0,0.6242461,0,119.4655,10.03648,0.4441681,0,39.0615,48.79151,3.027383,349.506780592127,347.921197742551,33.2540199263458,107.458696275997,104.5702,10.07762,85,85,16.15271,1.566449
0.3399999,S,0.3399999,0.09616344,0,0.6240324,0,119.661,10.03085,0.4740504,0,39.05276,48.79151,3.030103,350.252458239414,348.664061721503,33.3190120894404,110.929342754423,108.0568,10.41081,85,85,17.21584,1.668891
0.3499999,S,0.3499999,0.09926964,0,0.6238051,0,119.8566,10.0252,0.5049683,0,39.04401,48.79151,3.032823,350.996016690922,349.404814398722,33.3838195521204,114.409289017112,111.5508,10.74465,85,85,18.31388,1.774668
0.3599999,S,0.3599999,0.1023842,0,0.6235665,0,120.0521,10.01955,0.5369274,0,39.03527,48.79151,3.035543,351.73749841106,350.143498080007,33.4484460142313,117.898373328139,115.0522,11.07913,85,85,19.4469,1.883787
0.3699999,S,0.3699999,0.105507,0,0.6233189,0,120.2477,10.01389,0.5699329,0,39.02653,48.79151,3.038263,352.476798972762,350.880008733698,33.5128823756622,121.396455220336,118.561,11.41426,85,85,20.61496,1.996254
0.3799999,S,0.3799999,0.1086378,7.211672,0.6230639,0,120.4415,10.00822,0.6039894,0,39.01779,48.79151,3.040983,353.208348780241,351.6088,33.57662,124.903307844904,122.0771,11.75003,85,84.50217,21.83573,2.112076
0.3899999,S,0.3899999,0.1117766,7.001917,0.8225182,1.459639,120.6197,10.00253,0.8440434,1.583028,39.00904,48.79151,3.043704,353.264776843755,352.0922,28.75909,128.406209165601,125.598,12.03762,84.99714,84.52535,23.09171,2.231014
0.3999999,S,0.3999999,0.1149119,6.796587,0.8108295,1.417958,120.7978,9.996845,0.8793443,1.623023,39.0003,48.79151,3.046424,353.943569004611,352.7775,28.70689,131.91734347944,129.1258,12.32469,84.98855,84.5478,24.38297,2.352825
0.4099999,S,0.4099999,0.1180545,6.595112,0.7997026,1.377092,120.976,9.991147,0.9153252,1.661415,38.99156,48.79151,3.049144,354.620931925821,353.4578,28.69824,135.43659485248,132.6604,12.61167,84.97423,84.56937,25.70958,2.477507
0.4199999,S,0.4199999,0.1212045,6.396986,0.7890891,1.336933,121.1542,9.98544,0.9519772,1.698016,38.98282,48.79151,3.051864,355.297009484854,354.1332,28.73398,138.963856391468,136.2017,12.89901,84.95417,84.58993,27.07159,2.605061
0.4299999,S,0.4299999,0.1243617,6.201741,0.7789479,1.297385,121.3323,9.979725,0.9892941,1.732634,38.97408,48.79151,3.054584,355.971663945393,354.8035,28.81496,142.499122775831,139.7497,13.18716,84.92839,84.60938,28.46909,2.735492
0.4399998,S,0.4399998,0.1275261,6.008953,0.769242,1.258358,121.5105,9.974001,1.027272,1.765062,38.96533,48.79151,3.057304,356.644877185981,355.4686,28.94206,146.042394565952,143.3044,13.47658,84.89687,84.62762,29.90213,2.86881
0.4499998,S,0.4499998,0.1306977,5.818249,0.7599403,1.219771,121.6887,9.968269,1.065907,1.79509,38.95659,48.79151,3.060024,357.31675086685,356.1285,29.11618,149.59357911132,146.8657,13.76774,84.85963,84.64453,31.37079,3.005032
0.4599998,S,0.4599998,0.1338765,5.6293,0.7510161,1.181553,121.8669,9.962529,1.105201,1.822501,38.94785,48.79151,3.062744,357.987109607975,356.7829,29.33825,153.152587914798,150.4335,14.06112,84.81666,84.66003,32.87513,3.144176
0.4699998,S,0.4699998,0.1370623,5.441834,0.7424467,1.143641,122.0016,9.95678,1.145152,1.847042,38.93911,48.79151,3.065464,358.515723923597,357.292,29.59647,156.71803548219,154.0064,14.35708,84.76796,84.67406,34.41519,3.286267
0.4799998,S,0.4799998,0.1402539,5.255596,0.7342138,1.105982,122.1074,9.951024,1.185749,1.868475,38.93036,48.79151,3.068184,358.948831791801,357.7017,29.89578,160.28894095775,157.5834,14.65604,84.71353,84.68649,35.99102,3.431333
0.4899998,S,0.4899998,0.1434504,5.070318,0.7263015,1.068527,122.2131,9.945262,1.226984,1.886577,38.92162,48.79151,3.070904,359.38029882409,358.1053,30.24555,163.865322968576,161.1645,14.9585,84.65337,84.69727,37.60267,3.579405
0.4999998,S,0.4999998,0.1466519,4.885767,0.7186946,1.031225,122.3189,9.939495,1.268865,1.901101,38.91288,48.79151,3.073625,359.810135786523,358.5026,30.64669,167.447007059804,164.7495,15.26497,84.58748,84.70634,39.25016,3.730523
0.5099998,S,0.5099998,0.1498582,4.701719,0.7113805,0.9940314,122.4246,9.933723,1.311401,1.911806,38.90414,48.79151,3.076345,360.238283274995,358.8933,31.10016,171.034018844291,168.3384,15.57597,84.51586,84.71361,40.93355,3.884727
0.5199998,S,0.5199998,0.1530693,4.517973,0.7043489,0.9569013,122.5304,9.927946,1.354605,1.918434,38.89539,48.79151,3.079065,360.664609787299,359.277,31.60693,174.626389307316,171.9312,15.89204,84.43851,84.71901,42.65286,4.042067
0.5299998,S,0.5299998,0.1562853,4.334363,0.6975905,0.9197965,122.6362,9.922164,1.398496,1.920724,38.88665,48.79151,3.081785,361.089411172594,359.6537,32.16798,178.22395364515,175.5277,16.21372,84.35543,84.7225,44.40813,4.202596
0.5399998,S,0.5399998,0.159506,4.150712,0.6910991,0.8826848,122.742,9.916377,1.443092,1.918417,38.87791,48.79151,3.084505,361.512511855617,360.0229,32.78426,181.826747185545,179.1279,16.54156,84.26662,84.72399,46.19941,4.366372
0.5499998,S,0.5499998,0.1627314,3.966893,0.6848688,0.845532,122.8261,9.910585,1.488418,1.91122,38.86917,48.79151,3.087225,361.863628887346,360.3143,33.44983,185.434010629091,182.731,16.87606,84.17209,84.72343,48.02672,4.53346
0.5599998,S,0.5599998,0.1659609,3.78282,0.6788962,0.8083133,122.8235,9.904789,1.534489,1.898814,38.86042,48.79151,3.089945,361.931436373155,360.3173,34.14393,189.042976051866,186.3342,17.2175,84.07182,84.72079,49.89006,4.703928
0.5699998,S,0.5699998,0.169192,3.598362,0.6731799,0.7710125,122.821,9.898991,1.581296,1.880946,38.85168,48.79151,3.092665,361.997317115098,360.3115,34.89528,192.65348855519,189.9373,17.56645,83.96582,84.716,51.78944,4.877848
0.5799997,S,0.5799997,0.1724245,3.413398,0.6677174,0.7336047,122.8185,9.893192,1.62887,1.857336,38.84294,48.79151,3.095386,362.061222165534,360.2964,35.7048,196.265595495726,193.5403,17.9235,83.8541,84.70901,53.72484,5.055297
0.5899997,S,0.5899997,0.1756585,3.227818,0.6625075,0.6960661,122.8159,9.887394,1.67725,1.827696,38.8342,48.79151,3.098105,362.123143360311,360.2715,36.57345,199.879146783937,197.143,18.28923,83.73663,84.69976,55.69627,5.236361
0.5999997,S,0.5999997,0.1788939,3.041521,0.6575498,0.658376,122.8134,9.881597,1.726476,1.79174,38.82545,48.79151,3.100826,362.18311334541,360.2363,37.50221,203.494196012201,200.7454,18.66425,83.61345,84.68821,57.70372,5.421128
0.6099997,S,0.6099997,0.1821306,2.854429,0.6528447,0.6205147,122.8109,9.875799,1.776595,1.749167,38.81671,48.79151,3.103546,362.241304844166,360.1904,38.49206,207.110601894084,204.3473,19.04917,83.48454,84.6743,59.7472,5.609695
0.6199997,S,0.6199997,0.1853687,2.666685,0.6483936,0.5824673,122.8084,9.870002,1.827659,1.699688,38.80797,48.79151,3.106266,362.297625913861,360.1331,39.5439,210.728324871769,207.9486,19.44461,83.35012,84.65799,61.82668,5.802165
0.6299997,S,0.6299997,0.188608,2.478789,0.6442031,0.5442644,122.806,9.864204,1.879738,1.643141,38.79923,48.79151,3.108986,362.352313973849,360.0642,40.65675,214.347325231608,211.5492,19.85118,83.21079,84.63923,63.94218,5.998643
