Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,10.2,0,0,39.35,48.79151,2.937619,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.7252844,0,27.58158,10.2,0,0,39.34126,48.79151,2.94034,54.8269488147248,54.8269488145145,0.000151845295738226,14.6802433983401,0.5482695,0.000001518453,89.9999,89.9999,0.002741348,0.000000007592265
0.02,S,0.02,0.01313643,0,0.6783237,0,55.04814,10.19935,0.009620912,0,39.33251,48.79151,2.94306,141.445800823655,141.44580082333,0.00030302370576971,14.8007206910197,1.962727,0.00000454869,89.9999,89.9999,0.01529633,0.00000003792798
0.03,S,0.03,0.01324424,0,0.6770288,0,82.5147,10.1974,0.0097608,0,39.32377,48.79151,2.94578,228.138738158419,228.138738157967,0.000454331420985992,15.271596925107,4.244114,0.000009092004,89.9999,89.9999,0.04633053,0.0000001061315
0.04,S,0.04,0.0136656,0,0.6721248,0,109.9813,10.19416,0.01031647,0,39.31503,48.79151,2.9485,314.907682038279,314.907682037696,0.000605771794519776,16.4276780193542,7.39319,0.00001514972,89.9999,89.9999,0.1045171,0.0000002273401
0.05,S,0.05,0.0147001,0,0.6637469,0,112.9326,10.18962,0.01178871,0,39.30629,48.79151,2.95122,324.376648421585,324.376648420988,0.00062229825679873,18.1205531746561,10.63696,0.0000213727,89.9999,89.9999,0.1946678,0.0000004099522
0.05999999,S,0.05999999,0.01621496,0,0.6659417,0,113.16,10.1843,0.01439096,0,39.29754,48.79151,2.95394,325.273073254647,325.273073254049,0.000623862814114526,20.2023068151076,13.88969,0.00002761133,89.9999,89.9999,0.317301,0.0000006548723
0.06999999,S,0.06999999,0.0180778,0,0.6677027,0,113.3874,10.17896,0.01793471,0,39.2888,48.79151,2.95666,326.1680905674,326.1680905668,0.000625424915359877,22.5694348341437,17.15137,0.00003386558,89.9999,89.9999,0.4725063,0.0000009622569
0.07999999,S,0.07999999,0.02019601,0,0.6686465,0,113.6148,10.17361,0.02241535,0,39.28006,48.79151,2.95938,327.061473685253,327.061473684652,0.000626984159420946,25.1449268627626,20.42198,0.00004013542,89.9999,89.9999,0.6603731,0.000001332262
0.08999999,S,0.08999999,0.02250067,0,0.6687289,0,113.8423,10.16825,0.02782634,0,39.27132,48.79151,2.962101,327.953290780375,327.953290779773,0.000628540675891997,27.8742146168806,23.70151,0.00004642083,89.9999,89.9999,0.8809905,0.000001765043
0.09999999,S,0.09999999,0.02494296,0,0.668075,0,114.0697,10.16288,0.03416122,0,39.26257,48.79151,2.964821,328.843522192237,328.843522191633,0.000630094425141099,30.7191684506857,26.98994,0.00005272177,89.9999,89.9999,1.134448,0.000002260756
0.11,S,0.11,0.02748876,0,0.6668553,0,114.2971,10.1575,0.04141432,0,39.25383,48.79151,2.967541,329.732179170916,329.732179170311,0.000631645421502939,33.653064536996,30.28726,0.00005903823,89.9999,89.9999,1.420834,0.000002819556
0.12,S,0.12,0.03011416,0,0.6652277,0,114.5246,10.15211,0.04958113,0,39.24509,48.79151,2.970261,330.619314314791,330.619314314185,0.000633193767378525,36.6569325381388,33.59345,0.00006537016,89.9999,89.9999,1.740237,0.000003441598
0.13,S,0.13,0.03280219,0,0.6633205,0,114.7312,10.14671,0.05865824,0,39.23635,48.79151,2.972981,331.438673323137,331.438673322529,0.000634623816626718,39.7164910316633,36.90784,0.00007171639,89.9999,89.9999,2.092744,0.00000412703
0.14,S,0.14,0.03554006,0,0.6612316,0,114.9168,10.1413,0.0686412,0,39.2276,48.79151,2.975701,332.190064729436,332.190064728827,0.000635935240348152,42.8210599291353,40.22974,0.00007807575,89.9999,89.9999,2.478432,0.000004875991
0.15,S,0.15,0.03831821,0,0.6590334,0,115.1025,10.13588,0.07952569,0,39.21886,48.79151,2.978421,332.939780192514,332.939780191904,0.00063724373925375,45.9631380292372,43.55914,0.00008444818,89.9999,89.9999,2.897376,0.000005688611
0.16,S,0.16,0.04112994,0,0.6567777,0,115.2882,10.13045,0.09131,0,39.21012,48.79151,2.981141,333.687783228321,333.68778322771,0.000638549254982314,49.1370355144376,46.89602,0.00009083367,89.9999,89.9999,3.349652,0.00000656502
0.17,S,0.17,0.04397016,0,0.6545017,0,115.4739,10.12501,0.1039931,0,39.20138,48.79151,2.983861,334.434072201684,334.434072201072,0.000639851774081812,52.3383752897422,50.24036,0.00009723219,89.9999,89.9999,3.835334,0.000007505349
0.18,S,0.18,0.04683495,0,0.6522316,0,115.6596,10.11956,0.1175744,0,39.19263,48.79151,2.986581,335.178693426066,335.178693425453,0.000641151382668396,55.5637515362124,53.59215,0.0001036437,89.9999,89.9999,4.354496,0.000008509728
0.19,S,0.19,0.04972127,0,0.6499855,0,115.8453,10.11411,0.1320539,0,39.18389,48.79151,2.989301,335.921548868798,335.921548868184,0.000642447909643194,58.8104640053829,56.95137,0.0001100682,89.9999,89.9999,4.907214,0.000009578288
0.2,S,0.2,0.05262669,0,0.6477759,0,116.031,10.10864,0.1474322,0,39.17515,48.79151,2.992022,336.662733330502,336.662733329887,0.000643741520464924,62.0763517333808,60.318,0.0001165056,89.9999,89.9999,5.493561,0.00001071116
0.21,S,0.21,0.05554929,0,0.6456113,0,116.2283,10.10317,0.1637101,0,39.16641,48.79151,2.994742,337.439051902998,337.439051902381,0.000645096452135473,65.360026420682,63.69239,0.0001229566,89.9999,89.9999,6.113613,0.00001190847
0.22,S,0.22,0.05848783,0,0.6434969,0,116.5299,10.09769,0.1808906,0,39.15767,48.79151,2.997462,338.545742340459,338.545742339841,0.000647027991728648,68.6633137873716,67.07785,0.0001294269,89.9999,89.9999,6.767464,0.00001317039
0.23,S,0.23,0.06144394,0,0.641434,0,116.8314,10.09219,0.1989937,0,39.14892,48.79151,3.000182,339.651225625444,339.651225624824,0.000648957424818949,71.9850659299835,70.47437,0.0001359165,89.9999,89.9999,7.455225,0.0000144971
0.24,S,0.24,0.06441659,0,0.6394245,0,117.133,10.08669,0.218024,0,39.14018,48.79151,3.002902,340.755454906269,340.755454905647,0.00065088466435499,75.3243165355314,73.88193,0.0001424254,89.9999,89.9999,8.177007,0.00001588881
0.25,S,0.25,0.06740493,0,0.6374692,0,117.4346,10.08116,0.2379863,0,39.13144,48.79151,3.005622,341.858530824193,341.85853082357,0.00065280989666295,78.68025240692,77.30051,0.0001489535,89.9999,89.9999,8.932919,0.00001734571
0.26,S,0.26,0.07040821,0,0.6355683,0,117.7362,10.07563,0.2588855,0,39.1227,48.79151,3.008342,342.960384088992,342.960384088367,0.000654732995474079,82.0522036588196,80.73011,0.0001555008,89.9999,89.9999,9.723072,0.00001886798
0.27,S,0.27,0.07342584,0,0.6337212,0,118.0378,10.07008,0.2807269,0,39.11395,48.79151,3.011062,344.06096762803,344.060967627403,0.000656653873284931,85.4395913065934,84.17072,0.0001620673,89.9999,89.9999,10.54758,0.00002045582
0.28,S,0.28,0.07645733,0,0.631927,0,118.3394,10.06451,0.3035158,0,39.10521,48.79151,3.013783,345.160356398886,345.160356398258,0.0006585726716128,88.8419189638252,87.62233,0.000168653,89.9999,89.9999,11.40654,0.00002210942
0.29,S,0.29,0.0795022,0,0.6301842,0,118.641,10.05893,0.3272578,0,39.09647,48.79151,3.016503,346.258421425553,346.258421424923,0.000660489154655983,92.2587486135722,91.08492,0.0001752579,89.9999,89.9999,12.30008,0.00002382898
0.3,S,0.3,0.0825601,0,0.6284919,0,118.8789,10.05334,0.3519585,0,39.08773,48.79151,3.019223,347.151472482598,347.151472481967,0.000662047821263869,95.6876830784847,94.55643,0.0001818784,89.9999,89.9999,13.22828,0.00002561466
0.31,S,0.31,0.08562884,0,0.6268494,0,119.0744,10.04773,0.3776085,0,39.07898,48.79151,3.021943,347.907113952492,347.90711395186,0.000663366668669811,99.127058331563,98.0355,0.0001885121,89.9999,89.9999,14.19124,0.00002746661
0.32,S,0.32,0.08870695,0,0.6252558,0,119.27,10.04211,0.4042015,0,39.07024,48.79151,3.024663,348.660981140764,348.66098114013,0.000664682414303164,102.576563681225,101.5221,0.0001951589,89.9999,89.9999,15.18903,0.00002938497
0.33,S,0.33,0.09179416,0,0.6243294,0,119.4655,10.03648,0.4321703,0,39.0615,48.79151,3.027383,349.411610122977,349.411610122342,0.000665992508461173,106.035923564058,105.0162,0.0002018188,89.9999,89.9999,16.22172,0.00003136985
