Year,Month,Day,Time,Flight_Time_(s),Sync,Temperature_(F),Baro_Press_(atm),Baro_Altitude_ASL_(feet),Baro_Altitude_AGL_(feet),Batt_Volts,Apo_Volts,Main_Volts,3rd_Volts,4th_Volts,Velocity_Up,Velocity_DR,Velocity_CR,Inertial_Altitude,Inertial_DR_Position,Inertial_CR_position,Tilt_Angle_(deg),Future_Angle_(deg),Roll_Angle_(deg),Reserved_1,Reserved_2,Reserved_3,Rocket_FER_Hex,Apo_FER_H  ex,Main_FER_Hex,3rd_FER_Hex,4th_FER_Hex,Liftoff,Apogee,Press_Increasing,Burnout_Coast,Apo_fired,Main_fired,3rd_fired,4th_fired,Normal_Ascent,Accel_Vel_LE_0,ECI_Vvel_le_0,Reserved,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved
2024,2,10,13:24:45.638,-1.96,185,71.9,0.9841,443.4,-2.8,3.920,3.84,3.87,3.84,3.87,0.00,-1.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.658,-1.94,205,71.9,0.9840,445.1,-1.1,3.920,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c5,8c5,8c5,8c5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.678,-1.92,225,71.9,0.9840,445.1,-1.1,3.920,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.698,-1.90,245,71.9,0.9839,447.9,1.7,3.920,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.718,-1.88,15,71.9,0.9839,447.9,1.7,3.919,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.738,-1.86,35,71.9,0.9840,445.1,-1.1,3.919,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.758,-1.84,55,71.9,0.9840,445.1,-1.1,3.919,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.778,-1.82,75,71.9,0.9839,447.9,1.7,3.920,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.798,-1.80,95,71.9,0.9839,447.9,1.7,3.920,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.818,-1.78,115,71.9,0.9839,449.0,2.8,3.919,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.838,-1.76,135,71.9,0.9839,449.0,2.8,3.919,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,2,10,13:24:45.858,-1.74,155,71.9,0.9840,446.2,-0.0,3.920,3.84,3.87,3.84,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,600,8c9,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
