Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,11.87,0,0,38.38,46.76408,2.608611,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.6946157,0,27.58158,11.87,0,0,38.37105,46.76408,2.611396,42.8011014724094,42.3022258203655,6.51582518905243,0.428011055433038,0.4230223,0.06515825,85,85,0.002115112,0.0003257912
0.02,S,0.02,0.010,0,0.6946157,0,55.04814,11.86935,0.000008374663,0,38.3621,46.76408,2.61418,117.199798846617,116.475997105246,13.0051892729898,1.59973706038261,1.587782,0.1952101,85,85,0.01216913,0.001627633
0.03,S,0.03,0.010,0,0.6946159,0,82.5147,11.8674,0.0001169915,0,38.35315,46.76408,2.616965,191.676213531578,190.681995196002,19.4973726915989,3.51631718438424,3.494602,0.3901838,85,85,0.03758106,0.004554602
0.04,S,0.04,0.010,0,0.694616,0,109.9813,11.86416,0.0005652402,0,38.3442,46.76408,2.61975,266.216071860516,264.943928976546,25.9944497020876,6.17834173727781,6.144041,0.6501283,85,85,0.08577427,0.009756163
0.05,S,0.05,0.010,0,0.6946163,0,112.9326,11.85962,0.001745021,0,38.33525,46.76408,2.622535,274.333305703072,273.030709658797,26.7019512618239,8.92161490651107,8.874348,0.9171478,85,85,0.1608662,0.01759254
0.05999999,S,0.05999999,0.010,0,0.6946169,0,113.16,11.8543,0.003638674,0,38.3263,46.76408,2.625319,275.082809941749,273.777400706997,26.767278299614,11.6724089938313,11.61212,1.184821,85,85,0.2632985,0.02810239
0.06999999,S,0.06999999,0.01044492,0,0.6872486,0,113.3874,11.84896,0.006162325,0,38.31735,46.76408,2.628104,275.831745711093,274.52352520621,26.832555793,14.4307110888317,14.35736,1.453147,85,85,0.3931459,0.04129223
0.07999999,S,0.07999999,0.01291316,0,0.6538979,0,113.6148,11.84361,0.008961767,0,38.3084,46.76408,2.630889,276.580882176042,275.269849436884,26.8978507742352,17.1965075287938,17.11006,1.722126,85,85,0.550483,0.05716859
0.08999999,S,0.08999999,0.01538811,0,0.6489252,0,113.8422,11.83825,0.01262937,0,38.29945,46.76408,2.633673,277.328655784149,276.014815740224,26.9630267390946,19.9697856087076,19.87021,1.991756,85,85,0.7353843,0.075738
0.09999999,S,0.09999999,0.01786975,0,0.6540061,0,114.0696,11.83288,0.01716458,0,38.2905,46.76408,2.636458,278.075025942783,276.758383634765,27.0280806005816,22.7505241181169,22.63779,2.262037,85,85,0.9479243,0.09700696
0.11,S,0.11,0.02035808,0,0.656862,0,114.2971,11.8275,0.02237479,0,38.28155,46.76408,2.639243,278.820533831886,277.501092315326,27.0930590760544,25.538722187168,25.4128,2.532968,85,85,1.188177,0.120982
0.12,S,0.12,0.0228531,0,0.658209,0,114.5245,11.82211,0.02825281,0,38.2726,46.76408,2.642028,279.565245058132,278.243007100357,27.1579683364553,28.334369313224,28.19523,2.804548,85,85,1.456217,0.1476696
0.13,S,0.13,0.02535478,0,0.6585445,0,114.7311,11.81671,0.03479435,0,38.26365,46.76408,2.644812,280.252237106621,278.927419290381,27.217846558348,31.1368829988098,30.9845,3.076726,85,85,1.752116,0.1770759
0.14,S,0.14,0.02786261,0,0.6581987,0,114.9167,11.8113,0.0419953,0,38.2547,46.76408,2.647597,280.881378895146,279.55419831727,27.2726825454877,33.9456910021876,33.78004,3.349453,85,85,2.075939,0.2092068
0.15,S,0.15,0.03037609,0,0.6573918,0,115.1024,11.80588,0.04985208,0,38.24575,46.76408,2.650382,281.509624700087,280.180084562655,27.3274406640515,36.7607830180845,36.58184,3.622727,85,85,2.427748,0.2440677
0.16,S,0.16,0.0328952,0,0.6562724,0,115.2881,11.80045,0.05836325,0,38.2368,46.76408,2.653167,282.136849653808,280.804953673655,27.3821095774532,39.5821490167438,39.38989,3.896548,85,85,2.807607,0.2816641
0.17,S,0.17,0.03541993,0,0.6549421,0,115.4737,11.79501,0.06752791,0,38.22785,46.76408,2.655951,282.763167064839,281.428918512546,27.4366993896297,42.4097788542616,42.20418,4.170915,85,85,3.215577,0.3220014
0.18,S,0.18,0.03795027,0,0.6534719,0,115.6594,11.78956,0.07734569,0,38.2189,46.76408,2.658736,283.388552563113,282.051954802425,27.4912079754061,45.2436624055655,45.0247,4.445827,85,85,3.651722,0.3650851
0.19,S,0.19,0.04048623,0,0.6519113,0,115.8451,11.78411,0.08781657,0,38.20995,46.76408,2.661521,284.012943835229,282.674000465486,27.5456299036937,48.0837896057746,47.85144,4.721283,85,85,4.116102,0.4109207
0.2,S,0.2,0.04302778,0,0.6502962,0,116.0308,11.77864,0.09894087,0,38.201,46.76408,2.664306,284.63642323395,283.295137546618,27.5999723525054,50.9301504697661,50.68439,4.997283,85,85,4.608781,0.4595135
0.21,S,0.21,0.04557493,0,0.6486517,0,116.2281,11.77317,0.1107193,0,38.19205,46.76408,2.66709,285.290554202528,283.946810901268,27.656986390154,53.7830560020635,53.52386,5.273853,85,85,5.129823,0.5108692
0.22,S,0.22,0.04812794,0,0.6469962,0,116.5296,11.76769,0.123154,0,38.1831,46.76408,2.669875,286.22872200957,284.88145369644,27.7387570564202,56.645346812933,56.37268,5.55124,85,85,5.679306,0.5649947
