Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,12.06,0,0,38.36,46.76408,2.614834,0,0,0,0,0,0,87.2,87.2,0,0
0.010,S,0.010,0.010,0,0.6932862,0,27.56887,12.06,0,0,38.3512,46.76408,2.617573,41.4432143276394,41.2871824412416,3.59285121738773,8.84756713919317,0.4128718,0.03592851,87.2,87.2,0.002064359,0.0001796425
0.02,S,0.02,0.010,0,0.6932862,0,55.03543,12.05935,0.003598544,0,38.34239,46.76408,2.620313,114.698517886428,114.474050842691,7.17228617723439,9.04477993014484,1.557612,0.1076514,87.2,87.2,0.01191678,0.0008975421
0.03,S,0.03,0.010,0,0.6932864,0,82.502,12.0574,0.003760754,0,38.33358,46.76408,2.623053,188.009444656661,187.701648721637,10.7537131859353,9.64916363356709,3.434628,0.2151885,87.2,87.2,0.03687797,0.002511742
0.04,S,0.04,0.010,0,0.6932865,0,109.9686,12.05416,0.004280142,0,38.32478,46.76408,2.625792,261.377044820077,260.983499922078,14.3377936691503,10.9750403474403,6.044463,0.3585664,87.2,87.2,0.08427343,0.005380516
0.05,S,0.05,0.010,0,0.6932868,0,112.9199,12.04962,0.005537207,0,38.31598,46.76408,2.628532,269.364579642942,268.961638686729,14.7279897191888,12.7640173917385,8.734079,0.5058463,87.2,87.2,0.1581661,0.00970258
0.05999999,S,0.05999999,0.01145483,0,0.6709974,0,113.1473,12.0443,0.007248705,0,38.30717,46.76408,2.631272,270.100619720871,269.696812513293,14.7639457384643,14.8349289249827,11.43105,0.6534858,87.2,87.2,0.2589918,0.01549924
0.06999999,S,0.06999999,0.01331334,0,0.6427721,0,113.3747,12.03896,0.009379758,0,38.29836,46.76408,2.634011,270.836622015375,270.431948539242,14.7998997958707,17.089049320137,14.13537,0.8014848,87.2,87.2,0.3868239,0.02277409
0.07999999,S,0.07999999,0.01533627,0,0.6491013,0,113.6021,12.03361,0.01256928,0,38.28956,46.76408,2.636751,271.570734827708,271.165197232671,14.8357616800802,19.4658808216815,16.84702,0.9498425,87.2,87.2,0.5417358,0.03153073
0.08999999,S,0.08999999,0.01746932,0,0.6535861,0,113.8295,12.02825,0.01642145,0,38.28075,46.76408,2.639491,272.304059865305,271.897659011914,14.8715850859422,21.9282786513041,19.566,1.098558,87.2,87.2,0.7238009,0.04177273
0.09999999,S,0.09999999,0.01967917,0,0.6564054,0,114.0569,12.02288,0.02092858,0,38.27195,46.76408,2.64223,273.036511390764,272.629248248138,14.9073656993438,24.4528382449909,22.29229,1.247632,87.2,87.2,0.9330924,0.05350368
0.11,S,0.11,0.02194481,0,0.6579345,0,114.2844,12.0175,0.02608539,0,38.26314,46.76408,2.64497,273.768229504938,273.360104864313,14.9431106146075,27.0243604484616,25.02589,1.397063,87.2,87.2,1.169683,0.06672715
0.12,S,0.12,0.0242526,0,0.6585148,0,114.5118,12.01211,0.03188819,0,38.25434,46.76408,2.647709,274.499120101471,274.090134879294,14.9788149842487,29.6326398702105,27.76679,1.546851,87.2,87.2,1.433647,0.08144672
0.13,S,0.13,0.02659339,0,0.658411,0,114.7184,12.00671,0.03833438,0,38.24553,46.76408,2.650449,275.173283848339,274.763504773634,15.0117483454705,32.2700912599739,30.51443,1.696969,87.2,87.2,1.725053,0.09766582
0.14,S,0.14,0.02896036,0,0.6578191,0,114.904,12.0013,0.04542075,0,38.23673,46.76408,2.653189,275.790565713632,275.380059725764,15.0419028742909,34.9311407443586,33.26823,1.847388,87.2,87.2,2.043966,0.1153876
0.15,S,0.15,0.03134852,0,0.6568811,0,115.0897,11.99588,0.05314425,0,38.22792,46.76408,2.655928,276.406938093401,275.995706218334,15.0720129781136,37.6121364603348,36.02819,1.998108,87.2,87.2,2.390448,0.1346151
0.16,S,0.16,0.03375459,0,0.6557,0,115.2753,11.99045,0.06150373,0,38.21912,46.76408,2.658668,277.0223836251,276.610426909741,15.1020778088009,40.3103577009807,38.7943,2.149129,87.2,87.2,2.76456,0.1553513
0.17,S,0.17,0.03617612,0,0.6543501,0,115.461,11.98501,0.07049846,0,38.21031,46.76408,2.661408,277.636990609822,277.224309997528,15.1321016806215,43.0237335259664,41.56654,2.30045,87.2,87.2,3.166365,0.1775992
0.18,S,0.18,0.03861127,0,0.6528856,0,115.6467,11.97956,0.08012813,0,38.20151,46.76408,2.664147,278.250696175749,277.837292677589,15.1620816472206,45.7506847699461,44.34491,2.452071,87.2,87.2,3.595922,0.2013618
0.19,S,0.19,0.04105861,0,0.651346,0,115.8324,11.97411,0.09039281,0,38.1927,46.76408,2.666887,278.863455703195,278.449330396983,15.1920152777605,48.4899677955993,47.1294,2.603991,87.2,87.2,4.053294,0.2266421
